X.1,Favourable,Unfavourable
15/08/2025,24,68
14/07/2025,23,67
16/06/2025,28,62
14/05/2025,23,69
29/04/2025,27,64
14/04/2025,28,62
17/03/2025,32,60
14/03/2025,32,58
11/03/2025,30,62
05/03/2025,31,59
17/02/2025,26,66
17/01/2025,28,63
13/01/2025,25,66
09/01/2025,27,65
13/12/2024,25,66
10/11/2024,28,61
31/10/2024,29,63
06/10/2024,27,63
22/09/2024,30,60
13/09/2024,32,60
28/08/2024,35,56
14/08/2024,38,52
06/08/2024,37,53
31/07/2024,40,49
18/07/2024,44,44
11/07/2024,43,45
08/07/2024,44,47
02/07/2024,36,54
30/06/2024,35,55
26/06/2024,36,56
21/06/2024,36,53
20/06/2024,39,52
13/06/2024,37,52
12/06/2024,39,51
05/06/2024,36,53
30/05/2024,37,50
24/05/2024,34,53
12/05/2024,34,51
14/04/2024,33,53
20/03/2024,35,53
29/02/2024,32,53
19/01/2024,33,55
20/12/2023,33,54
12/12/2023,32,54
29/11/2023,37,50
15/11/2023,34,51
08/11/2023,35,52
01/11/2023,33,53
20/10/2023,34,50
13/10/2023,34,51
05/10/2023,32,54
29/09/2023,32,55
30/08/2023,34,54
22/08/2023,33,53
14/07/2023,32,54
21/06/2023,36,50
16/06/2023,31,54
23/05/2023,35,50
15/05/2023,35,51
09/05/2023,33,52
02/05/2023,34,54
17/04/2023,34,51
05/04/2023,35,47
16/03/2023,37,48
07/03/2023,38,48
01/03/2023,37,48
19/02/2023,36,49
09/02/2023,36,49
02/02/2023,36,51
18/01/2023,38,46
16/12/2022,38,46
09/12/2022,38,48
14/11/2022,39,45
25/10/2022,44,41
16/10/2022,41,46
12/10/2022,43,41
02/10/2022,40,47
22/09/2022,34,51
25/08/2022,32,54
17/08/2022,31,55
09/08/2022,28,57
26/07/2022,31,52
14/07/2022,34,50
11/07/2022,34,53
07/07/2022,36,49
26/06/2022,31,54
08/05/2022,32,54
14/04/2022,31,53
12/04/2022,31,52
05/04/2022,29,54
24/03/2022,33,54
23/03/2022,34,50
02/03/2022,33,50
18/02/2022,31,56
09/02/2022,35,49
27/01/2022,32,49
12/01/2022,33,52
07/01/2022,30,54
20/12/2021,33,48
09/12/2021,34,48
01/12/2021,31,44
18/11/2021,31,51
11/11/2021,31,50
21/10/2021,28,55
28/09/2021,29,49
26/09/2021,27,53
17/09/2021,26,55
03/09/2021,29,52
18/08/2021,26,56
29/07/2021,23,53
20/06/2021,26,55
28/05/2021,28,50
05/05/2021,31,50
28/04/2021,30,49
08/04/2021,36,43
09/03/2021,31,49
22/02/2021,34,44
09/02/2021,37,43
27/01/2021,40,37
20/01/2021,40,39
05/01/2021,42,39
18/12/2020,38,40
03/12/2020,40,37
19/11/2020,39,39
16/11/2020,39,40
04/11/2020,40,39
22/10/2020,41,36
20/10/2020,39,38
13/10/2020,40,38
30/09/2020,43,31
23/09/2020,41,36
10/09/2020,36,36
04/09/2020,39,33
27/08/2020,41,33
14/08/2020,39,33
18/07/2020,42,35
09/07/2020,40,33
08/07/2020,42,33
30/06/2020,40,32
28/06/2020,44,30
16/06/2020,42,30
11/06/2020,40,31
30/05/2020,42,31
14/05/2020,39,30
06/05/2020,35,30
22/04/2020,31,30
14/04/2020,34,25
