X.1,Favourable,Unfavourable
15/08/2025,32,61
14/07/2025,30,61
16/06/2025,30,61
14/05/2025,32,59
29/04/2025,28,62
14/04/2025,27,65
17/03/2025,27,65
11/03/2025,25,67
05/03/2025,26,65
17/02/2025,30,60
17/01/2025,29,60
13/01/2025,27,65
09/01/2025,30,62
13/12/2024,28,62
10/11/2024,30,61
31/10/2024,26,66
06/10/2024,28,63
22/09/2024,28,63
13/09/2024,26,67
28/08/2024,28,64
14/08/2024,27,64
06/08/2024,25,67
31/07/2024,27,62
08/07/2024,27,65
02/07/2024,27,65
30/06/2024,26,65
26/06/2024,27,66
20/06/2024,28,63
12/06/2024,29,61
05/06/2024,26,64
