X.1,Conservative,Labour,Reform UK
15/08/2025,-39,-37,-24
14/07/2025,-48,-39,-25
16/06/2025,-44,-30,-24
14/05/2025,-48,-39,-19
29/04/2025,-43,-32,-30
14/04/2025,-43,-32,-32
17/03/2025,-41,-27,-31
11/03/2025,-42,-30,-31
05/03/2025,-44,-28,-33
17/02/2025,-44,-35,-24
13/01/2025,-45,-34,-32
13/12/2024,-43,-35,-32
10/11/2024,-42,-25,-29
31/10/2024,-42,-31,
06/10/2024,-40,-29,-33
22/09/2024,-43,-27,-36
06/08/2024,-47,-14,
18/07/2024,-50,1,
08/07/2024,-51,1,-34
02/07/2024,-54,-7,-37
30/06/2024,-54,-12,-36
26/06/2024,-56,-12,-34
21/06/2024,-54,-8,-32
20/06/2024,-53,-6,-30
13/06/2024,-55,-6,
12/06/2024,-49,-3,-29
05/06/2024,-50,-8,-35
30/05/2024,-46,-3,
24/05/2024,-44,-6,-31
12/05/2024,-49,-5,-28
14/04/2024,-50,-9,
20/03/2024,-52,-15,
29/02/2024,-50,-11,
19/01/2024,-54,-15,
20/12/2023,-49,-12,
12/12/2023,-49,-14,
08/11/2023,-49,-9,
01/11/2023,-49,-11,
20/10/2023,-47,-6,
13/10/2023,-46,-8,
05/10/2023,-47,-11,
29/09/2023,-46,-11,
30/08/2023,-48,-11,
22/08/2023,-49,-12,
21/06/2023,-52,-8,
16/06/2023,-44,-12,
23/05/2023,-42,-6,
15/05/2023,-44,-7,
09/05/2023,-48,-9,
02/05/2023,-42,-12,
17/04/2023,-41,-11,
05/04/2023,-42,-7,
16/03/2023,-40,-6,
07/03/2023,-44,-7,
01/03/2023,-45,-5,
19/02/2023,-50,-12,
09/02/2023,-49,-7,
02/02/2023,-49,-12,
18/01/2023,-45,-7,
16/12/2022,-50,-3,
09/12/2022,-45,-3,
14/11/2022,-48,-2,
25/10/2022,-47,2,
16/10/2022,-53,1,
12/10/2022,-44,3,
02/10/2022,-50,-2,
22/09/2022,-33,-12,
25/08/2022,-41,-12,
17/08/2022,-43,-13,
09/08/2022,-40,-15,
26/07/2022,-40,-19,
11/07/2022,-39,-13,
26/06/2022,-39,-15,
08/05/2022,-38,-16,
14/04/2022,-40,-20,
12/04/2022,-36,-23,
05/04/2022,-32,-20,
02/03/2022,-30,-18,
09/02/2022,-39,-17,
27/01/2022,-35,-17,
12/01/2022,-41,-16,
07/01/2022,-33,-23,
20/12/2021,-40,-20,
09/12/2021,-36,-14,
18/11/2021,-33,-25,
11/11/2021,-31,-21,
21/10/2021,-28,-24,
26/09/2021,-24,-25,
17/09/2021,-25,-31,
18/08/2021,-24,-27,
29/07/2021,-24,-26,
20/06/2021,-22,-26,
08/04/2021,-17,-20,
09/03/2021,-21,-24,
22/02/2021,-16,-16,
09/02/2021,-20,-13,
27/01/2021,-23,-11,
20/01/2021,-21,-14,
05/01/2021,-24,-18,
18/12/2020,-24,-15,
03/12/2020,-23,-17,
19/11/2020,-21,-22,
16/11/2020,-23,-17,
04/11/2020,-24,-17,
22/10/2020,-24,-11,
20/10/2020,-21,-13,
13/10/2020,-24,-16,
30/09/2020,-21,-12,
23/09/2020,-23,-13,
10/09/2020,-19,-17,
04/09/2020,-20,-15,
27/08/2020,-17,-13,
14/08/2020,-14,-20,
18/07/2020,-15,-18,
09/07/2020,-11,-15,
08/07/2020,-12,-19,
30/06/2020,-16,-12,
28/06/2020,-13,-18,
16/06/2020,-12,-17,
11/06/2020,-14,-18,
30/05/2020,-10,-17,
14/05/2020,-1,-17,
06/05/2020,-3,-24,
14/04/2020,10,-25,
24/01/2020,-9,-31,
06/01/2020,-8,-33,
